file,time,bags,width,vertices
./50-10-1-q.cnf,0.0421131,438,13,460
./50-10-10-q.cnf,0.0398769,441,11,460
./50-10-2-q.cnf,0.0481819,442,12,460
./50-10-3-q.cnf,0.0366411,439,12,460
./50-10-4-q.cnf,0.0293719,445,9,460
./50-10-5-q.cnf,0.0472489,446,9,460
./50-10-6-q.cnf,0.047093,443,9,460
./50-10-7-q.cnf,0.0395871,439,12,460
./50-10-8-q.cnf,0.0315469,446,9,460
./50-10-9-q.cnf,0.040472,443,10,460
./50-12-1-q.cnf,0.0538229,650,12,672
./50-12-10-q.cnf,0.0619419,640,13,672
./50-12-2-q.cnf,0.046658,652,11,672
./50-12-3-q.cnf,0.057289,645,15,672
./50-12-4-q.cnf,0.0538271,645,12,672
./50-12-5-q.cnf,0.0648151,645,13,672
./50-12-6-q.cnf,0.0599209,645,13,672
./50-12-7-q.cnf,0.0421791,647,14,672
./50-12-8-q.cnf,0.05507,645,15,672
./50-12-9-q.cnf,0.063404,650,12,672
./50-14-1-q.cnf,0.0748999,886,17,924
./50-14-10-q.cnf,0.0537541,879,17,924
./50-14-2-q.cnf,0.0724761,887,15,924
./50-14-3-q.cnf,0.0706519,883,16,924
./50-14-4-q.cnf,0.054968,889,15,924
./50-14-5-q.cnf,0.0651589,886,17,924
./50-14-6-q.cnf,0.053859,889,14,924
./50-14-7-q.cnf,0.0580359,888,17,924
./50-14-8-q.cnf,0.0686309,888,14,924
./50-14-9-q.cnf,0.083926,881,16,924
./50-16-1-q.cnf,0.0891461,1166,17,1216
./50-16-10-q.cnf,0.105693,1153,20,1216
./50-16-2-q.cnf,0.103098,1158,20,1216
./50-16-3-q.cnf,0.09165,1166,18,1216
./50-16-4-q.cnf,0.0937631,1163,20,1216
./50-16-5-q.cnf,0.075852,1159,18,1216
./50-16-6-q.cnf,0.10702,1164,19,1216
./50-16-7-q.cnf,0.0762231,1166,15,1216
./50-16-8-q.cnf,0.072846,1166,17,1216
./50-16-9-q.cnf,0.111542,1159,19,1216
./50-18-1-q.cnf,0.117616,1481,21,1548
./50-18-10-q.cnf,0.114921,1477,21,1548
./50-18-2-q.cnf,0.0942069,1480,19,1548
./50-18-3-q.cnf,0.106852,1492,16,1548
./50-18-4-q.cnf,0.102149,1485,18,1548
./50-18-5-q.cnf,0.116342,1480,18,1548
./50-18-6-q.cnf,0.104837,1488,18,1548
./50-18-7-q.cnf,0.0982719,1489,18,1548
./50-18-8-q.cnf,0.110395,1485,22,1548
./50-18-9-q.cnf,0.102079,1488,21,1548
./50-20-1-q.cnf,0.123782,1831,21,1920
./50-20-10-q.cnf,0.128245,1831,23,1920
./50-20-2-q.cnf,0.132232,1835,23,1920
./50-20-3-q.cnf,0.139585,1836,22,1920
./50-20-4-q.cnf,0.140945,1836,21,1920
./50-20-5-q.cnf,0.14158,1830,24,1920
./50-20-6-q.cnf,0.141824,1835,21,1920
./50-20-7-q.cnf,0.153717,1836,21,1920
./50-20-8-q.cnf,0.112278,1827,23,1920
./50-20-9-q.cnf,0.129377,1848,18,1920
./5step.cnf,0.022522,173,3,177
./75-10-1-q.cnf,0.023906,448,6,460
./75-10-10-q.cnf,0.0288899,446,5,460
./75-10-2-q.cnf,0.036956,449,6,460
./75-10-3-q.cnf,0.0133949,1,0,0
./75-10-4-q.cnf,0.0344771,450,6,460
./75-10-5-q.cnf,0.0291601,448,8,460
./75-10-6-q.cnf,0.0234131,448,6,460
./75-10-7-q.cnf,0.0321481,448,7,460
./75-10-8-q.cnf,0.032969,445,8,460
./75-10-9-q.cnf,0.041097,447,9,460
./75-12-1-q.cnf,0.042617,654,10,672
./75-12-10-q.cnf,0.0344891,656,6,672
./75-12-2-q.cnf,0.046622,655,9,672
./75-12-3-q.cnf,0.0279541,655,8,672
./75-12-4-q.cnf,0.0419321,661,8,672
./75-12-5-q.cnf,0.0355429,654,10,672
./75-12-6-q.cnf,0.0358239,649,11,672
./75-12-7-q.cnf,0.0449259,659,7,672
./75-12-8-q.cnf,0.046054,654,11,672
./75-12-9-q.cnf,0.0380081,655,8,672
./75-14-1-q.cnf,0.037962,896,8,924
./75-14-10-q.cnf,0.0573479,903,9,924
./75-14-2-q.cnf,0.041452,902,9,924
./75-14-3-q.cnf,0.035685,904,10,924
./75-14-4-q.cnf,0.03895,901,10,924
./75-14-5-q.cnf,0.03857,905,11,924
./75-14-6-q.cnf,0.0493899,903,8,924
./75-14-7-q.cnf,0.0577751,904,11,924
./75-14-8-q.cnf,0.052265,899,12,924
./75-14-9-q.cnf,0.0452649,891,13,924
./75-15-1-q.cnf,0.039108,1037,11,1065
./75-15-10-q.cnf,0.0382559,1039,10,1065
./75-15-2-q.cnf,0.051722,1037,10,1065
./75-15-3-q.cnf,0.039676,1039,12,1065
./75-15-4-q.cnf,0.0504911,1048,7,1065
./75-15-5-q.cnf,0.018279,1,0,0
./75-15-6-q.cnf,0.0393211,1036,12,1065
./75-15-7-q.cnf,0.051004,1043,13,1065
./75-15-8-q.cnf,0.0618949,1041,10,1065
./75-15-9-q.cnf,0.036485,1042,11,1065
./75-16-1-q.cnf,0.058746,1186,12,1216
./75-16-10-q.cnf,0.057278,1182,12,1216
./75-16-2-q.cnf,0.0669591,1184,13,1216
./75-16-3-q.cnf,0.0658199,1184,13,1216
./75-16-4-q.cnf,0.0630149,1181,14,1216
./75-16-5-q.cnf,0.044285,1191,9,1216
./75-16-6-q.cnf,0.0644529,1187,13,1216
./75-16-7-q.cnf,0.051696,1182,11,1216
./75-16-8-q.cnf,0.0496241,1191,10,1216
./75-16-9-q.cnf,0.0538031,1180,14,1216
./75-17-1-q.cnf,0.0474511,1341,13,1377
./75-17-10-q.cnf,0.0584451,1347,11,1377
./75-17-2-q.cnf,0.0623921,1347,12,1377
./75-17-3-q.cnf,0.0509739,1346,13,1377
./75-17-4-q.cnf,0.0643391,1341,12,1377
./75-17-5-q.cnf,0.069322,1341,12,1377
./75-17-6-q.cnf,0.0605061,1349,11,1377
./75-17-7-q.cnf,0.0482841,1345,12,1377
./75-17-8-q.cnf,0.077806,1345,13,1377
./75-17-9-q.cnf,0.0582191,1343,12,1377
./75-18-1-q.cnf,0.083764,1510,12,1548
./75-18-10-q.cnf,0.101052,1501,12,1548
./75-18-2-q.cnf,0.0718,1508,15,1548
./75-18-3-q.cnf,0.0942469,1506,16,1548
./75-18-4-q.cnf,0.0633989,1514,10,1548
./75-18-5-q.cnf,0.0603299,1512,12,1548
./75-18-6-q.cnf,0.081871,1508,16,1548
./75-18-7-q.cnf,0.0708821,1512,12,1548
./75-18-8-q.cnf,0.0814461,1509,14,1548
./75-18-9-q.cnf,0.0820449,1511,15,1548
./75-19-1-q.cnf,0.086544,1685,16,1729
./75-19-10-q.cnf,0.0879659,1686,13,1729
./75-19-2-q.cnf,0.080027,1680,17,1729
./75-19-3-q.cnf,0.0895111,1677,17,1729
./75-19-4-q.cnf,0.0663369,1684,11,1729
./75-19-5-q.cnf,0.0546159,1693,12,1729
./75-19-6-q.cnf,0.095246,1682,16,1729
./75-19-7-q.cnf,0.0704279,1684,13,1729
./75-19-8-q.cnf,0.088633,1684,17,1729
./75-19-9-q.cnf,0.0605009,1685,15,1729
./75-20-1-q.cnf,0.0916111,1864,18,1920
./75-20-10-q.cnf,0.084157,1874,15,1920
./75-20-2-q.cnf,0.0877161,1870,16,1920
./75-20-3-q.cnf,0.0945109,1872,11,1920
./75-20-4-q.cnf,0.092476,1876,12,1920
./75-20-5-q.cnf,0.090937,1881,12,1920
./75-20-6-q.cnf,0.08251,1872,13,1920
./75-20-7-q.cnf,0.080722,1868,16,1920
./75-20-8-q.cnf,0.107457,1874,16,1920
./75-20-9-q.cnf,0.0833571,1876,14,1920
./75-21-1-q.cnf,0.114152,2077,11,2121
./75-21-10-q.cnf,0.113108,2066,15,2121
./75-21-2-q.cnf,0.0850081,2071,13,2121
./75-21-3-q.cnf,0.073144,2065,18,2121
./75-21-4-q.cnf,0.0940791,2073,12,2121
./75-21-5-q.cnf,0.0892849,2075,13,2121
./75-21-6-q.cnf,0.0932809,2065,17,2121
./75-21-7-q.cnf,0.121506,2060,19,2121
./75-21-8-q.cnf,0.0842479,2065,18,2121
./75-21-9-q.cnf,0.0151241,1,0,0
./75-22-1-q.cnf,0.127275,2276,15,2332
./75-22-10-q.cnf,0.146274,2275,14,2332
./75-22-2-q.cnf,0.130981,2267,16,2332
